epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1332.55,1.09454,0.51476,0.85742,0.95676,0.85646,0.9274,0.69884,1.00721,0.52062,0.84741,0.00153167,0.00153167,0.00153167
43,1362.03,1.11086,0.51298,0.85533,0.93333,0.87218,0.93453,0.71097,0.9965,0.51013,0.84826,0.00152837,0.00152837,0.00152837
44,1396.02,1.13856,0.51328,0.86237,0.9158,0.93305,0.95352,0.70091,1.06806,0.5144,0.85126,0.00152507,0.00152507,0.00152507
45,1418.81,1.04963,0.49131,0.85416,0.9158,0.93305,0.95352,0.70091,1.06806,0.5144,0.85126,0.00152177,0.00152177,0.00152177
46,1444.7,1.03776,0.48816,0.85302,0.94138,0.93896,0.96354,0.69954,1.00552,0.5057,0.84645,0.00151847,0.00151847,0.00151847
47,1473.64,1.20014,0.51628,0.85123,0.88702,0.87908,0.9181,0.65607,1.11145,0.57018,0.86381,0.00151517,0.00151517,0.00151517
48,1499.17,1.18157,0.52301,0.86032,0.86393,0.86953,0.90417,0.63201,1.08829,0.59015,0.86365,0.00151187,0.00151187,0.00151187
49,1526.37,1.11918,0.51399,0.85275,0.86393,0.86953,0.90417,0.63201,1.08829,0.59015,0.86365,0.00150857,0.00150857,0.00150857
50,1560.33,1.08751,0.50149,0.84785,0.90591,0.86917,0.91772,0.6569,1.0391,0.57141,0.85225,0.00150527,0.00150527,0.00150527
51,1590.52,1.20072,0.52259,0.84831,0.91261,0.86495,0.94049,0.69922,0.98213,0.52075,0.84473,0.00150197,0.00150197,0.00150197
52,1619.62,1.11118,0.49843,0.84446,0.78669,0.87281,0.95321,0.70046,1.04916,0.52507,0.84656,0.00149867,0.00149867,0.00149867
53,1653.48,1.12103,0.50569,0.85099,0.78669,0.87281,0.95321,0.70046,1.04916,0.52507,0.84656,0.00149537,0.00149537,0.00149537
54,1683.43,1.16109,0.50998,0.85434,0.85296,0.84013,0.95322,0.71237,1.03521,0.50435,0.84484,0.00149207,0.00149207,0.00149207
55,1714.8,1.07494,0.49117,0.8451,0.92768,0.90376,0.95509,0.73046,0.908,0.46716,0.83858,0.00148876,0.00148876,0.00148876
56,1742.31,1.06204,0.49021,0.83596,0.94568,0.92431,0.97257,0.72072,0.9271,0.46092,0.84002,0.00148546,0.00148546,0.00148546
57,1768.28,1.07716,0.48552,0.84395,0.94568,0.92431,0.97257,0.72072,0.9271,0.46092,0.84002,0.00148216,0.00148216,0.00148216
58,1799.31,1.07679,0.48365,0.84187,0.92876,0.92245,0.96163,0.71969,0.97153,0.46223,0.83892,0.00147886,0.00147886,0.00147886
59,1830.03,1.09946,0.49482,0.84977,0.95116,0.94212,0.96477,0.72278,0.98758,0.46439,0.84144,0.00147556,0.00147556,0.00147556
60,1859.71,1.04953,0.47921,0.84046,0.97415,0.92722,0.97854,0.73167,0.88006,0.44201,0.83504,0.00147226,0.00147226,0.00147226
61,1891.61,1.09523,0.47645,0.83797,0.97415,0.92722,0.97854,0.73167,0.88006,0.44201,0.83504,0.00146896,0.00146896,0.00146896
62,1921.85,1.10318,0.47967,0.83473,0.96759,0.92839,0.97926,0.73557,0.89242,0.44138,0.83332,0.00146566,0.00146566,0.00146566
63,1948.49,0.98965,0.46664,0.83844,0.95773,0.93517,0.97838,0.74297,0.89016,0.43601,0.83511,0.00146236,0.00146236,0.00146236
64,1977.74,1.00207,0.46319,0.84082,0.95925,0.92742,0.9652,0.74043,0.92454,0.44458,0.83743,0.00145906,0.00145906,0.00145906
65,2007.6,1.0312,0.46327,0.83365,0.95925,0.92742,0.9652,0.74043,0.92454,0.44458,0.83743,0.00145576,0.00145576,0.00145576
66,2037.63,1.00234,0.4619,0.84176,0.93613,0.97325,0.98136,0.76903,0.87476,0.43831,0.83644,0.00145246,0.00145246,0.00145246
67,2072.61,1.02592,0.46794,0.83465,0.95456,0.98077,0.98234,0.77396,0.85574,0.43128,0.83531,0.00144916,0.00144916,0.00144916
68,2100.9,0.95954,0.45076,0.83969,0.95429,0.94377,0.97046,0.73947,0.93911,0.44458,0.83713,0.00144586,0.00144586,0.00144586
69,2127.8,1.06691,0.46551,0.83095,0.95429,0.94377,0.97046,0.73947,0.93911,0.44458,0.83713,0.00144256,0.00144256,0.00144256
70,2157.9,1.04243,0.47225,0.8358,0.9404,0.96335,0.98483,0.73766,0.91023,0.44792,0.83838,0.00143925,0.00143925,0.00143925
71,2188.36,1.02329,0.46927,0.83919,0.95954,0.92979,0.97822,0.75081,0.8571,0.44442,0.83438,0.00143595,0.00143595,0.00143595
72,2230.38,1.04552,0.46848,0.83398,0.95485,0.93074,0.96264,0.72704,0.87891,0.44886,0.83482,0.00143265,0.00143265,0.00143265
